Site.ID,Site,Location,Region,Period,Start.BP.site,End.BP.site,Start.BP,End.BP,C14.Date,C14...,Start.BP.14c,End.BP.14c,Latitude,Longitude,Study.ID,Individual.ID,Sample.ID,Averaged,Sex,Age,Age_Cat,C.b.coll.,N.b.coll.,C.N..bone.,CN.accept,X..collagen.yield..bone.,elevation,dist2coast,d2coast_km,elev.factor,Temp_Mean,Precip_Mean,Temp_Mean_Seasonality,Precip_Mean_Seasonality,Temp_Mean.sd,Precip_Mean.sd,Temp_Mean_Seasonality.sd,Precip_Mean_Seasonality.sd,Demography.kde.14c,Demography.kde.corr.14c,Demography.kde.14c.sd,Demography.kde.corr.14c.sd,Citations,median.year
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,1,341-28,#N/A,#N/A,#N/A,#N/A,#N/A,-13.47,16.1,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.35,0.02,0.000131938,0.00000196,0.0000402,0.000000857,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",849
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,2,386-53,#N/A,#N/A,#N/A,#N/A,#N/A,-13.61,12.36,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.37,0.02,0.000131778,0.00000196,0.0000403,0.000000852,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",851
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,3,369-1-1-45,#N/A,#N/A,#N/A,#N/A,#N/A,-11.92,9.66,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.35,0.02,0.000132116,0.00000197,0.0000404,0.000000866,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",849
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,4,383-1-1-73,#N/A,#N/A,#N/A,#N/A,#N/A,-12.26,14.82,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.37,0.02,0.000132138,0.00000196,0.00004,0.000000856,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",847
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,5,520-2-2-60,#N/A,#N/A,#N/A,#N/A,#N/A,-13.15,8.66,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.38,0.02,0.00013148,0.00000196,0.0000406,0.000000872,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",849
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,6,531-3-1-64,#N/A,#N/A,#N/A,#N/A,#N/A,-12.31,13.55,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.35,0.02,0.000131368,0.00000197,0.0000401,0.000000847,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",851
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,7,330-25,#N/A,#N/A,#N/A,#N/A,#N/A,-12.84,15.76,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.39,0.02,0.000131964,0.00000195,0.0000405,0.000000842,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",850
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,8,333-24,#N/A,#N/A,#N/A,#N/A,#N/A,-12.48,20.11,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.37,0.02,0.000132217,0.00000196,0.0000404,0.000000861,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",849
Algodonal,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,9,335-24,#N/A,#N/A,#N/A,#N/A,#N/A,-11.67,10.38,#N/A,y,#N/A,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.37,0.02,0.000132278,0.00000196,0.0000409,0.000000852,"Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico; Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln",850
Algodonal LIPC,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,950,600,950,600,NA,NA,#N/A,#N/A,-17.6108,-71.2489,10,521-16-2,S-43,y,M,#N/A,#N/A,-12.46,18.28,3.14,y,16.3,187,13215.32294,13.21532294,Coastal,19.51,0.08,181.24,0.85,0.05,0,2.86,0.02,0.000164474,0.0000021,0.000055,0.000000916,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",777
Algodonal LIPC,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,950,600,950,600,NA,NA,#N/A,#N/A,-17.6108,-71.2489,11,512,S-45,y,M,#N/A,#N/A,-11.3,21.16,3.12,y,9.9,187,13215.32294,13.21532294,Coastal,19.51,0.08,181.24,0.85,0.05,0,2.89,0.02,0.000164603,0.0000021,0.000055,0.000000908,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",777
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,12,348,s-41,y,M,#N/A,#N/A,-12.06,9.59,3.4,y,13.1,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.34,0.02,0.000131892,0.00000196,0.0000402,0.000000858,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",848
Algodonal LIPT,Algodonal,Osmore Valley,South Coast,Late Intermediate Period,1000,700,1000,700,NA,NA,#N/A,#N/A,-17.6108,-71.2489,13,339,s-42,y,F,#N/A,#N/A,-11.33,19.38,3.16,y,10.7,187,13215.32294,13.21532294,Coastal,19.51,0.08,180.03,0.85,0.06,0,2.35,0.02,0.000131621,0.00000194,0.0000404,0.000000858,"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln; Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico",849
