Site.ID;Site;Location;Region;Period;Start.BP.site;End.BP.site;Start.BP;End.BP;C14.Date;C14...;Start.BP.14c;End.BP.14c;Latitude;Longitude;Study.ID;Individual.ID;Sample.ID;Averaged;Sex;Age;Age_Cat;C.b.coll.;N.b.coll.;C.N..bone.;CN.accept;X..collagen.yield..bone.;elevation;dist2coast;d2coast_km;elev.factor;Temp_Mean;Precip_Mean;Temp_Mean_Seasonality;Precip_Mean_Seasonality;Temp_Mean.sd;Precip_Mean.sd;Temp_Mean_Seasonality.sd;Precip_Mean_Seasonality.sd;Demography.kde.14c;Demography.kde.corr.14c;Demography.kde.14c.sd;Demography.kde.corr.14c.sd;Citations;median.year;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;1;341-28;#N/A;#N/A;#N/A;#N/A;#N/A;-13.47;16.1;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.35;0.02;0.000131938;1.96e-06;4.02e-05;8.57e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;2;386-53;#N/A;#N/A;#N/A;#N/A;#N/A;-13.61;12.36;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.37;0.02;0.000131778;1.96e-06;4.03e-05;8.52e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;3;369-1-1-45;#N/A;#N/A;#N/A;#N/A;#N/A;-11.92;9.66;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.35;0.02;0.000132116;1.97e-06;4.04e-05;8.66e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;4;383-1-1-73;#N/A;#N/A;#N/A;#N/A;#N/A;-12.26;14.82;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.37;0.02;0.000132138;1.96e-06;4,00E-05;8.56e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;5;520-2-2-60;#N/A;#N/A;#N/A;#N/A;#N/A;-13.15;8.66;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.38;0.02;0.00013148;1.96e-06;4.06e-05;8.72e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;6;531-3-1-64;#N/A;#N/A;#N/A;#N/A;#N/A;-12.31;13.55;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.35;0.02;0.000131368;1.97e-06;4.01e-05;8.47e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;7;330-25;#N/A;#N/A;#N/A;#N/A;#N/A;-12.84;15.76;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.39;0.02;0.000131964;1.95e-06;4.05e-05;8.42e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;8;333-24;#N/A;#N/A;#N/A;#N/A;#N/A;-12.48;20.11;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.37;0.02;0.000132217;1.96e-06;4.04e-05;8.61e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;1000;700;1000;700;NA;NA;#N/A;#N/A;-176.108;-712.489;9;335-24;#N/A;#N/A;#N/A;#N/A;#N/A;-11.67;10.38;#N/A;y;#N/A;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;180.03;0.85;0.06;0;2.37;0.02;0.000132278;1.96e-06;4.09e-05;8.52e-07;Tomczak, P. D. (2002). Prehistoric socio-economic relations and population organization in the Lower Osmore Valley of southern Peru. PhD Thesis. University of New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodonal LIPC;Algodonal;Osmore Valley;South Coast;Late Intermediate Period;950;600;950;600;NA;NA;#N/A;#N/A;-176.108;-712.489;10;521-16-2;S-43;y;M;#N/A;#N/A;-12.46;18.28;3.14;y;16.3;187;1.321.532.294;1.321.532.294;Coastal;19.51;0.08;181.24;0.85;0.05;0;2.86;0.02;0.000164474;2.1e-06;5.5e-05;9.16e-07;Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
