"";"Site.ID";"Site";"Location";"Region";"Period";"Start.BP.site";"End.BP.site";"Start.BP";"End.BP";"C14.Date";"C14...";"Start.BP.14c";"End.BP.14c";"Latitude";"Longitude";"Study.ID";"Individual.ID";"Sample.ID";"Averaged";"Sex";"Age";"Age_Cat";"C.b.coll.";"N.b.coll.";"C.N..bone.";"CN.accept";"X..collagen.yield..bone.";"elevation";"dist2coast";"d2coast_km";"elev.factor";"Temp_Mean";"Precip_Mean";"Temp_Mean_Seasonality";"Precip_Mean_Seasonality";"Temp_Mean.sd";"Precip_Mean.sd";"Temp_Mean_Seasonality.sd";"Precip_Mean_Seasonality.sd";"Demography.kde.14c";"Demography.kde.corr.14c";"Demography.kde.14c.sd";"Demography.kde.corr.14c.sd";"Citations";"median.year"
"1";"Algodonal LIPC";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";950;600;950;600;NA;NA;"#N/A";"#N/A";-176,108;-712,489;10;"521-16-2";"S-43";"y";"M";"#N/A";"#N/A";-12,46;18,28;"3.14";"y";"16.3";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;181,24;0,85;0,05;0;2,86;0,02;0,000164474;"2.1e-06";"5.5e-05";"9.16e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"2";"Algodonal LIPC";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";950;600;950;600;NA;NA;"#N/A";"#N/A";-176,108;-712,489;11;"512";"S-45";"y";"M";"#N/A";"#N/A";-11,3;21,16;"3.12";"y";"9.9";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;181,24;0,85;0,05;0;2,89;0,02;0,000164603;"2.1e-06";"5.5e-05";"9.08e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"3";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;12;"348";"s-41";"y";"M";"#N/A";"#N/A";-12,06;9,59;"3.4";"y";"13.1";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,34;0,02;0,000131892;"1.96e-06";"4.02e-05";"8.58e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"4";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;13;"339";"s-42";"y";"F";"#N/A";"#N/A";-11,33;19,38;"3.16";"y";"10.7";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,35;0,02;0,000131621;"1.94e-06";"4.04e-05";"8.58e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"5";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;14;"519-6-5";"s-2-1";"y";"M";"#N/A";"#N/A";-11,36;24,36;"3.17";"y";"19.2";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,37;0,02;0,000132016;"1.97e-06";"3.98e-05";"8.52e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"6";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;15;"344";"s-46";"#N/A";"M";"#N/A";"#N/A";-11,23;14,2;"3.14";"y";"16.3";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,38;0,02;0,000131595;"1.97e-06";"4.02e-05";"8.45e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"7";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;16;"354";"s-47";"y";"F";"#N/A";"#N/A";-12,62;15,47;"3.1";"y";"12.5";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,37;0,02;0,000132085;"1.97e-06";"4.02e-05";"8.58e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"8";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;17;"520-2-3";"s-48";"y";"M";"#N/A";"#N/A";-12,08;20,84;"3.15";"y";"9.6";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,38;0,02;0,000131515;"1.96e-06";"4.01e-05";"8.51e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"9";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;18;"381-1-1";"s-49";"y";"F";"#N/A";"#N/A";-13,05;16,67;"3.25";"y";"14.6";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,34;0,02;0,000132552;"1.96e-06";"4.03e-05";"8.55e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"10";"Algodonal LIPT";"Algodonal";"Osmore Valley";"South Coast";"Late Intermediate Period";1000;700;1000;700;NA;NA;"#N/A";"#N/A";-176,108;-712,489;19;"334";"s-2-2";"y";"F";"#N/A";"#N/A";-18,6;11,87;"3.25";"y";"19.9";187;"1.321.532.294";"1.321.532.294";"Coastal";19,51;0,08;180,03;0,85;0,06;0;2,35;0,02;0,000131528;"1.96e-06";"3.99e-05";"8.67e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"11";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;20;"C4 R404 1271";"1";"#N/A";"M";"#N/A";"#N/A";-12,56;20,91;"3.05";"y";"21.5";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,77;0,02;0,000179896;"2.2e-06";"5.34e-05";"9.43e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"12";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;21;"C3 T314 1156";"2";"#N/A";"M";"#N/A";"#N/A";-14,79;15,85;"3.34";"y";"23.5";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,79;0,02;0,000179573;"2.19e-06";"5.28e-05";"9.18e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"13";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;22;"C3 T321 3494";"3";"#N/A";"F";"#N/A";"#N/A";-11,41;20,54;"3.1";"y";"21.4";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000179839;"2.19e-06";"5.38e-05";"9.33e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"14";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;23;"C7 T722 2406";"4";"#N/A";"F";"#N/A";"#N/A";-12,35;19,77;"3.07";"y";"23.4";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000179359;"2.21e-06";"5.35e-05";"9.22e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"15";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;24;"C4 R427 3907";"5";"#N/A";"M";"#N/A";"#N/A";-12,61;20,44;"3.07";"y";"22.3";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,79;0,02;0,000179635;"2.22e-06";"5.39e-05";"9.41e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"16";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;25;"C7 T746 2975";"6";"#N/A";"F";"#N/A";"#N/A";-13,44;17,12;"3.24";"y";"25.4";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000180437;"2.22e-06";"5.35e-05";"9.25e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"17";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;26;"C3 T301 1000";"7";"#N/A";"F";"#N/A";"#N/A";-13,84;15,56;"3.08";"y";"23.4";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,76;0,02;0,000178896;"2.19e-06";"5.35e-05";"9.2e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"18";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;27;"C7 R750 3103";"8";"#N/A";"M";"#N/A";"#N/A";-13,22;19,48;"3.16";"y";"23.9";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,79;0,02;0,000179865;"2.22e-06";"5.3e-05";"9.33e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"19";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;28;"C3 T310 1144";"9";"#N/A";"M";"#N/A";"#N/A";-12,16;18,52;"3.09";"y";"26.4";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000178362;"2.19e-06";"5.4e-05";"9.37e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"20";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;29;"C4 R419 3658";"10";"#N/A";"F";"#N/A";"#N/A";-12,46;21;"3.13";"y";"16.4";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000180672;"2.2e-06";"5.39e-05";"9.29e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"21";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;30;"C7 T751 3147";"11";"#N/A";"M";"#N/A";"#N/A";-11,34;18,83;"3.17";"y";"24.9";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,78;0,02;0,000179074;"2.21e-06";"5.33e-05";"9.36e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
"22";"Alta";"Alta";"Osmore Valley";"South Coast";"Late Intermediate Period";850;600;850;600;NA;NA;"#N/A";"#N/A";-176,426;-713,091;31;"C7 R720 2375";"12";"#N/A";"F";"#N/A";"#N/A";-12,39;18,77;"3.09";"y";"27.2";205;"7.119.613.738";"7.119.613.738";"Coastal";19,51;0,08;181,45;0,85;0,05;0;2,8;0,02;0,000179688;"2.19e-06";"5.34e-05";"9.42e-07";"Sandness, K. L. (1992). Temporal and spatial dietary variability in the prehistoric lower and middle Osmore drainage: the carbon and nitrogen isotope evidence. M.A. thesis. University of Nebraska--Lincoln";NA
