autor_ano;regiao;sitio;elevação_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;fx_idade;n_id;n_id_afetados;n_id_naoafetados
Tung 2012;Ayacucho;Conchopata;2839;Wari;HM;1300;1150;adulto_jovem;14;2;12
Tung 2012;Ayacucho;Conchopata;2839;Wari;HM;1300;1150;adulto_medio;14;4;10
Tung 2012;Ayacucho;Conchopata;2839;Wari;HM;1300;1150;adulto_velho;9;4;5
Tung 2012;Ayacucho;Conchopata;2839;Wari;HM;1300;1150;adulto;7;0;7
Tung 2012;Ayacucho;Beringa;2839;Wari;HM;1300;1150;adulto_jovem;15;2;13
Tung 2012;Ayacucho;Beringa;2839;Wari;HM;1300;1150;adulto_medio;15;6;9
Tung 2012;Ayacucho;Beringa;2839;Wari;HM;1300;1150;adulto_velho;3;2;1
Tung 2012;Ayacucho;Beringa;2839;Wari;HM;1300;1150;adulto;6;3;3
Tung 2012;Ayacucho;La Real;2839;Wari;HM;1300;1150;adulto_jovem;55;15;40
Tung 2012;Ayacucho;La Real;2839;Wari;HM;1300;1150;adulto_medio;11;2;9
Tung 2012;Ayacucho;La Real;2839;Wari;HM;1300;1150;adulto_velho;12;5;7
Tung 2012;Ayacucho;La Real;2839;Wari;HM;1300;1150;adulto;26;10;16
