autor_ano;pais;regiao;sitio;long_leste_m;lat_sul_m;elevacao_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;n_id;n_id_traumas;sem_traumas;fr_traumas;n_id_antimortem;fr_antimortem;n_id_perimortem;fr_perimortem;n_tr_anterior;nasal;frontal;n_tr_posterior;n_tr_pariental;parietal_e;pariental_d;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;ev_fort;estr_sociopolitica;clima;carc_geografica
Benyon and Siegel 1981;Peru;South Peru_Paracas;Santo_Domingo_Pampa;365028.44 ;8467514.42;17;NID;ARC;8340;6220;M;2;0;2;;0;;0;;0;0;0;0;0;0;0;0;;;;;0;;deserto;costa
Standen et al 2020;Chile;Arica;Arica_Acha3C4_Acha3C1;360360.00;7955939.00;71;Chinchorro;ARC;10000;8000;M;4;2;2;0,50;2;0,50;0;;1;;;0;;;;1;;;;;0;Tribo;deserto;costa
Standen et al 2020;Chile;Arica;Arica_Morro_Praia Miller;360360.00;7955939.00;71;Chinchorro;ARC;8000;6000;M;12;3;9;0,25;2;0,17;1;0,08;3;;;0;;;;0;;;;;0;Tribo;deserto;costa
Standen et al 2020;Chile;Arica;Arica;360360.00;7955939.00;71;Chinchorro;ARC;6000;4000;M;63;20;43;0,32;18;0,29;2;0,03;;;;;;;;;;;;;0;Tribo;deserto;costa
Standen et al 2020;Chile;Arica;Arica;360360.00;7955939.00;71;Chinchorro;ARC;6000;4000;F;57;11;46;0,19;11;0,19;0;;;;;;;;;;;;;;0;Tribo;deserto;costa
Standen et al 2010;Chile;Vale de Azapa ;AZ_146;375393.00 ;7951291.00;278; NID;FF;2740;1930;M;3;3;0;1,00;0;;3;1,00;3;;;0;;;;3;;;;;0;Tribo;deserto;vale
Torres-Rouff e King 2014;Chile;San Pedro de Atacama;Sitios_San_Pedro_Atacama;575922.00 ;7452929.00 ;2450;Atacamenhos;HM;1550;950;M;199;46;153;0,23;38;0,19;0;;38;38;0;0;;0;0;0;;;;;0;Tribo;deserto;oases
Torres-Rouff e King 2014;Chile;San Pedro de Atacama;Sitios_San_Pedro_Atacama;575922.00 ;7452929.00 ;2450;Atacamenhos;HM;1550;950;F;194;23;171;0,12;19;0,10;0;;19;19;0;0;;0;0;0;;;;;0;Tribo;deserto;oases
Lessa e Mendoza de Souza 2006;Chile;San Pedro de Atacama;Coyo_Oriente;578613.59;7462916.16;2450;Atacamenhos;HM;1430;70;M;125;15;110;0,12;15;0,12;0;;15;13;2;0;;0;0;0;;;;;0;Tribo;deserto;oases
Lessa e Mendoza de Souza 2006;Chile;San Pedro de Atacama;Coyo_Oriente;578613.59;7462916.16;2450;Atacamenhos;HM;1430;70;F;101;10;91;0,10;10;0,10;0;;9;5;4;0;;0;0;0;;;;;0;Tribo;deserto;oases
