autor_ano;pais;regiao;sitio;status_mortuario;contx_violencia;lat;long;elevação_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;fx_idade;n_id;n_id_afetados
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;;-13,1572;-74,1939;2839;Pré_Wari_Huarpa;PIP;1700;1350;M;adulto;1;1
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;;-13,1572;-74,1939;2839;Pré_Wari_Huarpa;PIP;1700;1350;F;idoso;4;2
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;;-13,1572;-74,1939;2839;Pré_Wari_Huarpa;PIP;1700;1350;NID;adulto;6;0
Tung 2014;Peru;Ayacucho;Huari_Cheqo_wasi;elite;guerra;-13,0647;-74,1747;2839;Wari;HM;1700;1350;M;adulto;10;5
Tung 2014;Peru;Ayacucho;Huari_Cheqo_wasi;elite;guerra;-13,0647;-74,1747;2839;Wari;HM;1700;1350;F;adulto;11;7
Tung 2014;Peru;Ayacucho;Huari_Cheqo_wasi;elite;guerra;-13,0647;-74,1747;2839;Wari;HM;1700;1350;NID;adulto;3;0
Tung 2007, Tung 2012, Tung 2008;Peru;Ayacucho;Conchopata;comum;guerra;-13,1572;-74,1939;2839;Wari;HM;1300;1150;M;adulto;14;4
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;guerra;-13,1572;-74,1939;2839;Wari;HM;1300;1150;F;adulto;25;6
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;guerra;-13,1572;-74,1939;2839;Wari;HM;1300;1150;NID;adulto;5;0
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;comum;invasao_v;-16,1447;-72,4628;477;Wari;HM;1300;1150;NID;adulto;16;4
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;comum;invasao_v;-16,1447;-72,4628;477;Wari;HM;1300;1150;M;adulto;10;5
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;comum;invasao_v;-16,1447;-72,4628;477;Wari;HM;1300;1150;F;adulto;13;4
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;elite;bat_ritual;-16,2487;-72,4730;477;Wari;HM;1300;1150;NID;adulto;39;11
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;elite;bat_ritual;-16,2487;-72,4730;477;Wari;HM;1300;1150;M;adulto;39;16
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;elite;bat_ritual;-16,2487;-72,4730;477;Wari;HM;1300;1150;F;adulto;26;5
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;comum;;-13,0647;-74,1747;2839;pós-Wari;PIT;930;520;M;adulto;18;12
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;comum;;-13,0647;-74,1747;2839;pós-Wari;PIT;930;520;F;adulto;11;9
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;Wari;HM;1300;1150;M;adulto;11;2
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;Wari;HM;1300;1150;F;adulto;5;0
Kurin 2012;Peru;Andahuayalas;Pucullu;;;-13,5959;-73,3679;3006;Quechua;PIT;950;400;M;adulto;15;12
Kurin 2012;Peru;Andahuayalas;Pucullu;;;-13,5959;-73,3679;3006;Quechua;PIT;950;400;F;adulto;10;5
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;Chanka;PIT;950;400;M;adulto;19;11
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;Chanka;PIT;950;400;F;adulto;17;11
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;Chanka;PIT;950;400;NID;adulto;1;1
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;Chanka;PIT;950;400;M;jovem_adulto;63;36
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;Chanka;PIT;950;400;F;jovem_adulto;72;45
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;Chanka;PIT;950;400;NID;jovem_adulto;27;3
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;;;-13,7592;-73,528;3049;Chanka;PIT;950;400;M;jovem_adulto;16;11
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;;;-13,7592;-73,528;3049;Chanka;PIT;950;400;NID;jovem_adulto;3;3
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;;;-16,3386;-72,4785;1173;Wari inicial;HM;1650;1200;M;adulto;65;52
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;;;-16,3386;-72,4785;1173;Wari inicial;PIP_HM;1650;1200;NID;adulto;34;15
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;;;-12,2066;-76,953;115;Villa El Salvador XII;PIP;2050;1850;M;adulto;30;6
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;;;-12,2066;-76,953;115;Villa El Salvador XII;PIP;2050;1850;F;adulto;31;3
McCool et al 2021;Peru;Vale Aja;Ayaorcco;;;-14,6546;-74,7041;881;Nasca;PIT;1000;500;M;adulto;28;10
McCool et al 2021;Peru;Tierras Blancas;Ayapata;;;-14,7136;-74,6577;881;Nasca;PIT;1000;500;M;adulto;54;37
McCool et al 2021;Peru;Las Trancas;C. Tribolpata;;;-14,4690;-74,5196;881;Nasca;PIT;1000;500;M;adulto;9;4
McCool et al 2021;Peru;Vale Aja;Ayaorcco;;;-14,6546;-74,7041;881;Nasca;PIT;1000;500;F;adulto;33;8
McCool et al 2021;Peru;Tierras Blancas;Ayapata;;;-14,7136;-74,6577;881;Nasca;PIT;1000;500;F;adulto;50;20
McCool et al 2021;Peru;Las Trancas;C. Tribolpata;;;-14,4690;-74,5196;881;Nasca;PIT;1000;500;F;adulto;14;6
McCool et al 2021;Peru;Vale Aja;Ayaorcco;;;-14,6546;-74,7041;881;Nasca;PIT;1000;500;NID;adulto;10;3
McCool et al 2021;Peru;Tierras Blancas;Ayapata;;;-14,7136;-74,6577;881;Nasca;PIT;1000;500;NID;adulto;6;4
McCool et al 2021;Peru;Las Trancas;C. Tribolpata;;;-14,4690;-74,5196;881;Nasca;PIT;1000;500;NID;adulto;3;0
Andrushko 2007 apud Arkush e Tung 2013 e Tung 2021;Peru;Terras altas_sul;Wata;;;-13,3469;-72,2456;;;PIP;2050;1850;NID;adulto;8;2
Dulanto 2016;Peru;Costa central;Cerro Culebra;;;-11,9404;-77,1223;;Lima medio;PIP;2050;1850;M;adulto;4;2
Dulanto 2016;Peru;Costa central;Cerro Culebra;;;-11,9404;-77,1223;;Lima medio;PIP;2050;1850;F;adulto;10;4
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;Nasca;PIP;2050;1850;M;adulto;39;4
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;Nasca;PIP;2050;1850;F;adulto;24;3
Tung 2021;Peru;Sul_peru;Nasca _ Taruga Valley sites;;;;;;Nasca;PIP;2050;1850;NID;adulto;10;1
Tung 2021;Peru;Sul_peru;Nasca _ Taruga Valley sites;;;;;;Nasca;PIP;2050;1850;M;adulto;2;0
Tung 2021;Peru;Sul_peru;Nasca _ Taruga Valley sites;;;;;;Nasca;PIP;2050;1850;F;adulto;7;0
Álvarez 2013 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Catalina Huanca;;;;;;Lima tardio;HM;1300;1150;M;adulto;11;3
Álvarez 2013 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Catalina Huanca;;;;;;Lima tardio;HM;1300;1150;F;adulto;5;1
Barreto 2012 apud Dulanto 2016;Peru;Costa central;Huaca Pucllana;;;;;;Lima tardio;HM;1300;1150;M;adulto;12;3
Barreto 2012 apud Dulanto 2016;Peru;Costa central;Huaca Pucllana;;;;;;Lima tardio;HM;1300;1150;F;adulto;20;1
Fierro c.1998 apud Dulanto 2016;Peru;Costa central;Cajamarquilla-Tello;;;;;;Lima tardio;HM;1300;1150;F;adulto;3;1
Fierro c.1998 apud Dulanto 2016;Peru;Costa central;Cajamarquilla-Tello;;;;;;Lima tardio;HM;1300;1150;M;adulto;3;0
Dulanto 2016;Peru;Costa central;Copacabana;;;;;;Lima tardio;HM;1300;1150;M;adulto;6;3
Dulanto 2016;Peru;Costa central;Copacabana;;;;;;Lima tardio;HM;1300;1150;F;adulto;6;1
Dulanto 2016;Peru;Costa central;Huaca 20;;;;;;Lima tardio;HM;1300;1150;M;adulto;30;7
Dulanto 2016;Peru;Costa central;Huaca 20;;;;;;Lima tardio;HM;1300;1150;F;adulto;22;5
Dulanto 2016;Peru;Costa central;Ancon;;;;;;Lima tardio;HM;1300;1150;M;adulto;5;4
Dulanto 2016;Peru;Costa central;Ancon;;;;;;Lima tardio;HM;1300;1150;F;adulto;4;1
Wi?ckowski 2014 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;El Castillo de Huarmey;;;;;;Wari;HM;1300;1150;M;adulto;1;1
Wi?ckowski 2014 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;El Castillo de Huarmey;;;;;;Wari;HM;1300;1150;F;adulto;53;0
Rojas-Sepúlveda and Dutour 2009 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Ancon I;;;;;;Wari;HM;1300;1150;M;adulto;48;2
Rojas-Sepúlveda and Dutour 2009 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Ancon I;;;;;;Wari;HM;1300;1150;F;adulto;63;2
Vega 2004 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Miraflores 3A;;;;;;Late Nazca-Wari;PIP_HM;1650;1200;M;adulto;12;4
Vega 2004 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Miraflores 3A;;;;;;Late Nazca-Wari;PIP_HM;1650;1200;F;adulto;11;1
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Las Trancas V;;;;;;Wari;HM;1300;1150;F;adulto;44;3
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Las Trancas V;;;;;;Wari;HM;1300;1150;M;adulto;36;6
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;Nasca_Loro_w_localceramics;HM;1300;1150;M;adulto;28;3
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;Nasca_Loro_w_localceramics;HM;1300;1150;F;adulto;36;2
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;Nasca_ Chakipampa_Burials w_ Wari goods;HM;1300;1150;M;adulto;8;3
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;Nasca_ Chakipampa_Burials w_ Wari goods;HM;1300;1150;F;adulto;8;1
Tung 2014a;Peru;Ayachucho;Nawinpukio;;;;;;Wari;HM;1300;1150;M;adulto;1;0
Tung 2014a;Peru;Ayachucho;Nawinpukio;;;;;;Wari;HM;1300;1150;F;adulto;2;1
Andrushko and Torres 2011;Peru;Cusco;Qotakalli_ Ak'awillay_ Choquepukio_ Cotocotuyoc;;;;;;Wari;HM;1300;1150;M;adulto;16;3
Andrushko and Torres 2011;Peru;Cusco;Qotakalli_ Ak'awillay_ Choquepukio_ Cotocotuyoc;;;;;;Wari;HM;1300;1150;F;adulto;16;0
Andrushko and Torres 2011;Peru;Cusco;Qotakalli_ Ak'awillay_ Choquepukio_ Cotocotuyoc;;;;;;Wari;HM;1300;1150;NID;adulto;4;0
Bauer and Bauer 1984 Verano 2005c;Peru;Cusco;Pikkillacta;;;;;;Wari;HM;1300;1150;M;adulto;5;1
Bauer and Bauer 1984 Verano 2005c;Peru;Cusco;Pikkillacta;;;;;;Wari;HM;1300;1150;F;adulto;7;0
Burgess 1999 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Chiribaya;;;;;;Chiribaya;PIT;1000;500;NID;adulto;425;2
Williams 1990 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Estuquiña;;;;;;Lupaca;PIT;1000;500;M;adulto;60;3
Williams 1990 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Estuquiña;;;;;;Lupaca;PIT;1000;500;F;adulto;43;2
Verano and Toyne 2011;Peru;Costa central;Punta Lobos;;;;;;Chimú;PIT;1000;500;M;adulto;121;22
Verano and Toyne 2011;Peru;Costa central;Punta Lobos;;;;;;Chancay;PIT;1000;500;M;adulto;2;1
Verano and Toyne 2011;Peru;Costa central;Punta Lobos;;;;;;Chancay;PIT;1000;500;F;adulto;6;5
Barreto 2014 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Huaca 33-Maranga;;;;;;Late Ychsma;PIT;1000;500;NID;adulto;26;15
Chan 2011;Peru;Costa central;Armatambo-H. del Pacífico;;;;;;Early-Middle Ychsma;PIT;1000;500;M;adulto;11;4
Dulanto 2016;Peru;Costa central;Armatambo-H. del Pacífico;;;;;;Early-Middle Ychsma;PIT;1000;500;F;adulto;15;3
