Ind_Maior Fr;Odds ratio
1;2,689
1;3,448
1;1,710
1;2,743
1;4,473
0;0,904
1;1,639
1;1,311
1;1,456
1;2,301
1;3,316
0;0,151
1;1,463
1;5,953
1;4,341
1;1,034
1;8,355
1;1,239
1;6,873
1;2,322
1;1,322
1;4,676
1;2,699
1;2,169
1;2,874
1;2,017
1;3,838
1;1,258
0;0,587
0;0,816
0;0,704
1;6,746
1;1,111
1;2,834
0;0,804
1;1,071
1;3,762
0;0,811
0;0,511
1;1,454
1;1,078
0;0,258
1;2,211
1;1,638
1;4,264
0;0,618
0;0,588
0;0,801
0;0,756
1;3,762
1;1,183
0;0,697
1;2,023
0;0,621
0;0,532
1;1,572
1;2,779
0;0,677
1;4,492
0;0,679
1;1,984
1;2,436
1;2,356
1;2,348
1;3,663
1;1,104
1;1,968
1;2,951
1;2,700
0;0,621
1;7,992
1;1,697
1;6,219
1;2,541
1;1,000
0;0,877
1;1,104
1;3,733
1;2,383
