valley,site,tomb,unique_ID,period,sex,probable_sex ,dimorphism_index,age_categ,peri-mortem,#_peri,overkill,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sector,occipital,occipital_sector,ante-mortem,#_ante,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sectr,occipital,sum_traumas,trauma,critical_trauma,AMS Subset,valley,site,tomb,unique_ID,mod_cranium,mod_style,C14_RangeBP,Cal_medianBP,C14_RangeAD,main_period,phase
Aja,Ayaorcco,C1,Cr1,LIP,Female,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr1,Y,AO,717 - 672    ,692,1233 - 1278,LIP,PII
Aja,Ayaorcco,C1,Cr2,LIP,Ind,,NA,Child,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr2,Y,AO,629 - 556     ,608,1321 - 1395,LIP,PIII
Aja,Ayaorcco,C1,Cr3,LIP,Female,,5,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr3,Y,AO,651 - 566     ,601,1268 - 1385,LIP,PIII
Aja,Ayaorcco,C1,Cr4,LIP,Female,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr5,Y,AO,717 - 663    ,681,1211 - 1277,LIP,PII
Aja,Ayaorcco,C1,Cr5,LIP,Male,,14,Middle Adult,N,0,N,,,,,,,,,,Y,1,A,X,L,,,,,,1,Y,N,,Aja,Ayaorcco,C1,Cr8,Y,AO,679 - 662,672,1271 - 1288,LIP,PII
Aja,Ayaorcco,C1,Cr6,LIP,Female,,5,Middle Adult,N,0,N,,,,,,,,,,Y,1,P,,,X,L,,,,1,Y,Y,,Aja,Ayaorcco,C1,Cr10,Y,AO,675 - 660,668,1275 - 1290,LIP,PII
Aja,Ayaorcco,C1,Cr7,LIP,Ind,,10,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr11,Y,AO,629 - 556,608,1321 - 1394,LIP,PIII
Aja,Ayaorcco,C1,Cr8,LIP,Female,,4,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr14,Y,AO,719 - 672,694,1231 - 1278,LIP,PII
Aja,Ayaorcco,C1,Cr9,LIP,Male,,17,Middle Adult,N,0,N,,,,,,,,,,Y,1,A,X,,,,,,,1,Y,N,,Aja,Ayaorcco,C1,Cr15,Y,AO,721 - 684,704,1229 - 1266,LIP,PII
Aja,Ayaorcco,C1,Cr10,LIP,Female,,4,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr16,N,NA,650 - 566,599,1300 - 1384,LIP,PIII
Aja,Ayaorcco,C1,Cr11,LIP,Male,,19,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr17,NA,NA,644 - 560   ,605,1275 - 1390,LIP,PIII
Aja,Ayaorcco,C1,Cr12,LIP,Male,,15,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr19,Y,AO,667 - 577     ,655,1283 - 1373,LIP,PIII
Aja,Ayaorcco,C1,Cr13,LIP,Male,,14,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr22,Y,AO,672 - 579    ,659,1278 - 1371,LIP,PIII
Aja,Ayaorcco,C1,Cr14,LIP,Ind,,13,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr29,Y,AO,553 - 540   ,547,1397 - 1410,LIP,PIII
Aja,Ayaorcco,C1,Cr15,LIP,Male,,15,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C1,Cr30,Y,AO,641- 560     ,604,1309 - 1390,LIP,PIII
Aja,Ayaorcco,C1,Cr16,LIP,Male,,15,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C2,Cr31,Y,AO,620 - 542     ,554,1330 - 1408,LIP,PIII
