Sample,Colour,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,Mn,Fe,O
TWTIA001‐IAI485,Black,7.2,0.5,0.6,3.6,18.1,0.5,0.3,0.3,2.3,1.7,0.2,2.2,12.3,50.1
,Red,5.3,1.1,0.9,6.3,21,0.7,0.4,0.5,4.2,1.7,0.5,0,7.3,50.1
,White,7.6,0.5,0.7,6.2,20.9,0.7,0.3,0.5,3.7,2.0,0.4,0,2.5,54.1
,Orange,5.9,0.5,0.7,6.3,22.4,0.5,0.4,0.5,3.4,1.8,0.3,0,5.1,51.8
,Matrix,8.7,0.9,1.1,7.9,19.5,0.1,0,0,2.2,0.7,0.4,0,3.2,55.4
TWTIA003‐IAI487,Black,7.4,0.7,1.4,5.3,14.6,0.5,1.0,0.2,3.6,2.3,0.3,1.5,11.3,49.9
,Red,7.7,1.0,1.0,5.4,16.7,1.1,1.0,0.1,4.3,3.8,0.4,0,5.2,52.4
,White,6.8,0.8,1.1,8.3,18.1,0.8,1.0,0.1,4.4,3.3,0.4,0.1,2.4,52.7
,Matrix,7.4,1.1,1.0,7.0,21.1,0,0,0,2.6,1.2,0.4,0,4.7,53.6
TWPRT001‐IAI488,Black,6.5,0.3,0.7,6.8,15.4,0.8,0.3,0,2.6,1.5,0.4,1.3,14.8,48.9
,Red,6.8,0.3,0.8,7.2,18.7,0.4,0.2,0,3.0,1.1,0.4,0,9.8,51.3
,White,6.2,0.3,0.7,9.4,21.3,0.3,0.2,0,4.0,0.9,0.4,0,3.6,52.8
,Orange,5.7,0.2,0.5,8.9,20,0.4,0.4,0,3.4,1.1,0.4,0,8,51.0
,Matrix,6.4,0.4,0.8,8.2,20.3,1.8,0,0,2.3,1.5,0.5,0,4.6,53.2
TWPRT00286‐IAI490,Black,7.4,0.5,0.9,8.3,21.3,0,0,0,2.5,0.8,0.4,0,3.7,54.2
,Red,7.5,0.5,0.9,9.1,20.3,0.1,0,0,2.5,0.7,0.3,0,3.9,54.2
TWTIR001a‐IAI492,Black,7.5,0.6,0.9,5.9,15.4,0.2,2.5,0.1,4.0,3.5,0.3,2.7,4.5,52.1
,Matrix,4.1,0.4,1.2,9.5,24.6,0,0,0,3.0,1.4,0.4,0,4.5,51.0
TWTIR001b‐IAI493,Black,8.5,0.8,0.7,4.4,13.3,0.3,0.2,0,2.6,1.4,0.3,3.2,14.7,49.7
,Blanco,8.2,0.9,1.7,6.2,19.0,0.3,0.2,0,5.3,1.4,0.3,0,3.0,53.7
,Matrix,5.5,1.0,1.3,8.1,23.8,0,0,0,2.7,0.8,0.4,0,4.0,52.4
TWAZ141‐IAI495,Black,6.4,1.1,0.9,5.4,16.5,0.1,2.8,0.4,1.9,4.6,0.2,0.8,7.8,50.7
,Red,7.0,1.1,1.1,6.1,15.2,0,1.3,0.4,1.7,3.4,0.3,0.7,10.7,49.8
,White,5.5,1.3,1.2,7.2,18.9,0,2.7,0.7,2.9,4.2,0.4,0,3.8,51.3
,Orange,3.9,1.2,0.9,5.4,16.8,0,5.8,0.6,2.1,7.4,0.2,0.4,6.1,49.3
,Matrix,7.6,0.9,1.0,7.6,20.0,0,0.3,0.3,2.7,1.4,0.3,0,4.3,53.8
