Sample,Ayllu,Cemetery,Individual,Sex,Collagen yield (wt%),Apatite yield (wt%),wt% C,wt% N,"Atomic
 C:N","δ13Cco
 (‰)","δ15Nco
 (‰)","δ13Cap
 (‰)","Δ13Cap-co
 (‰)","C3
 mean",C3 sd,"C4/CAM
 mean","C4/ CAM
 sd",Bean mean,Bean sd,Terrestrial meat mean,Terrestrial meat sd
L160,Conde Duque,Casa Parroquial,"11, 418",,5.2,67.5,30.6,10.2,3.5,-11.8,12.2,-6.0,5.8,17.1%,11.5%,36.7%,15.3%,18.3%,10.5%,27.9%,15.9%
L167,Conde Duque,Casa Parroquial,"18, 418",M,17.3,56.7,42.0,15.0,3.3,-11.0,13.4,-6.4,4.6,23.5%,14.6%,39.0%,12.2%,11.4%,8.4%,26.1%,16.7%
L162,Conde Duque,Casa Parroquial,"19, 419",M,15.3,57.9,41.1,15.0,3.2,-12.5,12.1,-7.6,4.9,20.2%,11.6%,32.2%,15.5%,22.8%,12.0%,24.8%,16.1%
L161,Conde Duque,Casa Parroquial,"2, 414",,14.4,59.8,40.8,14.5,3.3,-13.7,11.4,-7.9,5.8,24.7%,14.8%,29.9%,11.2%,24.5%,13.7%,21.0%,14.5%
L163,Conde Duque,Casa Parroquial,"20, 420",F,14.2,59.7,40.2,14.4,3.3,-15.4,11.8,-9.4,6.1,25.6%,15.8%,16.1%,9.3%,32.1%,18.6%,26.2%,13.5%
L166,Conde Duque,Casa Parroquial,"22, 421",M,11.9,61.7,35.3,12.4,3.3,-13.7,11.2,-9.1,4.6,27.3%,15.4%,17.0%,10.1%,24.6%,13.1%,31.1%,11.7%
J74,Conde Duque,Casa Parroquial,Cuerpo 05,F,6.1,54.9,38.5,13.4,3.4,-13.6,11.7,-6.9,6.7,21.5%,12.7%,33.3%,14.7%,19.6%,11.5%,25.6%,15.3%
J75,Conde Duque,Casa Parroquial,Cuerpo 06,,12.4,55.6,42.7,15.5,3.2,-14.1,12.3,-8.2,5.9,29.7%,13.4%,30.0%,10.9%,17.6%,10.7%,22.8%,13.3%
J71,Conde Duque,Casa Parroquial,Cuerpo 08,F,13.9,67.5,41.6,15.1,3.2,-13.3,12.0,-6.7,6.7,19.3%,12.7%,33.5%,13.2%,21.3%,11.8%,25.9%,15.8%
J72,Conde Duque,Casa Parroquial,Cuerpo 09,,5.4,54.8,39.7,13.8,3.3,-14.7,12.6,-7.9,6.8,26.9%,14.8%,23.3%,13.2%,18.7%,11.7%,31.1%,14.7%
